title,subtitle,authors,categories,published_year,average_rating,num_pages,ratings_count
Hamlet,,William Shakespeare,Drama,2001.0,4.01,148.0,1605.0
A Midsummer Night's Dream,,William Shakespeare,Drama,2000.0,3.94,144.0,984.0
Critical Studies,The Great Gatsby,Kathleen Parkinson,Literary Criticism,1988.0,3.88,144.0,518.0
Ten Short Stories,,Roald Dahl,Short stories,2000.0,3.82,208.0,8.0
Chocolat,A Novel,Joanne Harris,Fiction,2000.0,3.96,306.0,92266.0
Bridget Jones's Diary,A Novel,Helen Fielding,Fiction,2001.0,3.76,271.0,2852.0
Sammlung,,William Shakespeare,Drama,2002.0,4.59,1808.0,559.0
In the Heart of the Sea,The Tragedy of the Whaleship Essex,Nathaniel Philbrick,History,2001.0,4.16,302.0,68051.0
Door Wide Open,"A Beat Love Affair in Letters, 1957-1958",Jack Kerouac,Biography & Autobiography,2001.0,3.82,232.0,677.0
Moonraker,,Ian Fleming,"Bond, James (Fictitious character)",2002.0,3.73,310.0,40.0
How to Build a Time Machine,,Paul Davies,Science,2002.0,3.82,148.0,65.0
Stiff,The Curious Lives of Human Cadavers,Mary Roach,Dead,2004.0,4.06,304.0,970.0
Under The Duvet,,Marian Keyes,Fiction,2002.0,3.51,304.0,386.0
Golden Buddha,,Clive Cussler;Craig Dirgo,"Cabrillo, Juan (Fictitious character)",2005.0,3.89,527.0,8822.0
Jamie's Kitchen,,Jamie Oliver,Cookery,2004.0,3.89,336.0,4012.0
The Fabric of the Cosmos,"Space, Time and the Texture of Reality",Brian Greene,Science,2005.0,4.12,592.0,324.0
You Shall Know Our Velocity,,Dave Eggers,Fiction,2004.0,3.63,350.0,255.0
The Merchant of Venice,,William Shakespeare;Peter Holland,Jews,2005.0,3.8,240.0,135.0
Complete Maus,,Art Spiegelman,Children of Holocaust survivors,2003.0,4.55,296.0,100212.0
How to Breathe Underwater,Stories,Julie Orringer,Families,2005.0,3.96,222.0,188.0
Henry IV Part Two,,William Shakespeare;Adrian Poole,Literary Criticism,2005.0,3.8,336.0,20.0
Stupid White Men,And Other Sorry Excuses for the State of the Nation,Michael Moore,American wit and humor,2004.0,3.31,304.0,11410.0
About a Boy,,Nick Hornby,,2000.0,0.0,0.0,0.0
The Epic of Gilgamesh,,Anonymous,Fiction,2006.0,3.67,120.0,51735.0
Finding time again,,Marcel Proust,Fiction,2003.0,4.48,374.0,168.0
Vineland,,Thomas Pynchon,Fiction,1997.0,3.68,385.0,668.0
Pan,From the Papers of Lieutenant Thomas Glahn,Knut Hamsun,Fiction,1998.0,3.9,181.0,5457.0
Forty Stories,,Donald Barthelme,"Experimental fiction, American",2005.0,4.21,246.0,2443.0
One Flew Over the Cuckoo's Nest,,Anonymous,Fiction,1962.0,4.19,281.0,3859.0
The Wife,,Sigrid Undset,Fiction,1999.0,4.15,402.0,1977.0
Mrs Dalloway,,Virginia Woolf,Fiction,2000.0,3.79,233.0,2128.0
The Collected Dorothy Parker,,Dorothy Parker,Classical fiction,2001.0,4.29,604.0,1057.0
Ulysses,,James Joyce,Fiction,2000.0,3.74,933.0,1447.0
A Confederacy of Dunces,,John Kennedy Toole,Classical fiction,2000.0,3.89,338.0,1409.0
Sammlung,,Jorge Luis Borges;Eliot Weinberger,Argentine literature,1999.0,4.54,560.0,156.0
"Speak, Memory",An Autobiography Revisited,Vladimir Nabokov;Vladimir Vladimirovich Nabokov,"Novelists, American",2000.0,4.19,255.0,8484.0
Howards End,,Edward Morgan Forster,Brothers,2000.0,3.96,352.0,367.0
A Room of One's Own,,Virginia Woolf,Fiction,2002.0,4.13,112.0,73875.0
Tender is the Night,,F. Scott Fitzgerald,Fiction,2001.0,3.82,400.0,1278.0
A Spy In The House Of Love,,Anais Nin,Fiction,2001.0,3.68,124.0,290.0
Keep the Aspidistra Flying,,George Orwell,Fiction,2000.0,3.88,277.0,11220.0
The Flame Trees of Thika,Memories of an African Childhood,Elspeth Huxley,Biography & Autobiography,2000.0,4.12,281.0,4643.0
Orlando,A Biography,Virginia Woolf,Men,2000.0,3.86,228.0,39204.0
The Good Soldier Svejk,,Jaroslav Hašek,Czechoslovakia,2000.0,4.11,752.0,84.0
Rhinoceros,The Chairs ; The Lesson,Eugène Ionesco,French drama,2000.0,4.01,224.0,5209.0
Labyrinths,Selected Stories and Other Writings,Jorge Luis Borges,Classical fiction,2000.0,4.46,287.0,901.0
The Dharma Bums,,Jack Kerouac,Fiction,2000.0,3.93,204.0,1295.0
The Subterraneans,,Jack Kerouac,Fiction,2001.0,3.68,192.0,416.0
One Hundred Years of Solitude,,Gabriel García Márquez,Latin America,2000.0,4.06,422.0,1332.0
Tortilla Flat,,John Steinbeck,Fiction,2000.0,3.83,154.0,419.0
The Plague,,Albert Camus,Epidemics,2002.0,3.98,238.0,909.0
Orwell in Spain,"the full text of Homage to Catalonia, with associated articles, reviews and letters from The complete works of George Orwell",George Orwell,Fiction,2001.0,4.33,416.0,203.0
The Years,,Virginia Woolf,Fiction,2002.0,3.77,444.0,2712.0
The Autobiography of Alice B. Toklas,,Gertrude Stein,Biography & Autobiography,2001.0,3.59,272.0,233.0
Nausea,,Jean-Paul Sartre;Robert Baldick,Fiction,2000.0,3.92,253.0,1459.0
The House of Bernarda Alba and Other Plays,,Federico García Lorca;Michael Dewell;Carmen Zapata,Repression (Psychology),2001.0,4.07,169.0,140.0
Go Tell it on the Mountain,,James Baldwin,Fiction,2001.0,4.01,256.0,33558.0
Answered Prayers,The Unfinished Novel,Truman Capote,Authors,2001.0,3.48,192.0,92.0
The Log from the Sea of Cortez,,John Steinbeck,Biography & Autobiography,2001.0,3.84,288.0,3226.0
"The Sea, the Sea",,Iris Murdoch,Fiction,2001.0,3.92,528.0,12428.0
A Fairly Honourable Defeat,,Iris Murdoch,Fiction,2001.0,3.94,432.0,1353.0
Mysteries,,Knut Hamsun,Fiction,2001.0,4.1,313.0,265.0
Giovanni's Room,,James Baldwin,Fiction,2001.0,4.23,159.0,35090.0
The Bell,,Iris Murdoch,Fiction,2001.0,3.88,296.0,4502.0
The Call of Cthulhu and Other Weird Stories,,H. P. Lovecraft,"Horror tales, American",2002.0,4.22,420.0,734.0
Seven Gothic Tales,,Isak Dinesen,Fiction,2002.0,3.94,368.0,82.0
Orientalism,,Edward W. Said,History,2003.0,4.09,396.0,795.0
One Flew Over the Cuckoo's Nest,,Ken Kesey,Mentally ill,2005.0,4.19,281.0,2364.0
Mr Majeika and the School Trip,,Humphrey Carpenter,Juvenile Fiction,1999.0,3.81,89.0,45.0
The Duplicate,,William Sleator,Juvenile Fiction,1999.0,3.68,154.0,476.0
The Beasties,,William Sleator,Juvenile Fiction,1999.0,3.84,208.0,802.0
Crazy,,Benjamin Lebert,Handicapped youth,2000.0,2.92,175.0,7.0
Serena and the Sea Serpent,,Garth Nix,Sea monsters,2000.0,3.59,79.0,33.0
Skin and Other Stories,,Roald Dahl,Juvenile Fiction,2002.0,4.06,224.0,5245.0
Westmark,,Lloyd Alexander,Juvenile Fiction,2002.0,3.92,184.0,4049.0
The Kestrel,,Lloyd Alexander,Juvenile Fiction,2002.0,3.99,244.0,2674.0
James and the Giant Peach,,Roald Dahl;Quentin Blake,Adventure stories,2001.0,4.0,160.0,1211.0
Boy,Tales of Childhood,Roald Dahl,"Authors, English",2001.0,4.1,176.0,42784.0
The Blue Sword,,Robin McKinley,,2001.0,4.23,272.0,286.0
The Outsiders,,S. E. Hinton,Alienation (Social psychology),2002.0,4.08,218.0,2559.0
The Twits,,Roald Dahl;Simon Callow,,2004.0,3.95,96.0,93010.0
"Raffles, the Amateur Cracksman",,Ernest William Hornung,Fiction,2003.0,3.61,240.0,1388.0
"Frankenstein, Or, The Modern Prometheus",,Mary Wollstonecraft Shelley,Fiction,2002.0,3.78,335.0,827747.0
Pygmalion,,George Bernard Shaw,Literary Criticism,2003.0,3.9,122.0,1997.0
Pride and Prejudice,,Jane Austen,Fiction,2003.0,4.25,480.0,11552.0
Emma,,Jane Austen,Fiction,2002.0,3.99,474.0,519245.0
A Tale of Two Cities,,Charles Dickens,Fiction,2003.0,3.83,489.0,693045.0
The Woman in White,,Wilkie Collins,Fiction,2003.0,3.99,672.0,104614.0
The Mill on the Floss,,George Eliot,Fiction,2003.0,3.79,579.0,40763.0
The Portrait of a Lady,,Henry James,Fiction,2003.0,3.77,797.0,60027.0
Mansfield Park,,Jane Austen,Fiction,2003.0,3.85,507.0,234760.0
Robinson Crusoe,,Daniel Defoe,Fiction,2003.0,3.67,286.0,1415.0
Vanity Fair,A Novel Without a Hero,William Makepeace Thackeray,Fiction,2003.0,3.78,867.0,100384.0
The Turn of the Screw and The Aspern Papers,,Henry James,Fiction,2003.0,3.79,272.0,6652.0
Little Dorrit,,Charles Dickens,Fiction,2003.0,3.98,1021.0,38158.0
Tono-Bungay,,H.G. Wells,Fiction,2005.0,3.42,414.0,820.0
A Passage to India,,Edward Morgan Forster;Pankaj Mishra,Fiction,2005.0,3.68,376.0,53972.0
"Moby-Dick, Or, The Whale",,Herman Melville,Fiction,2001.0,3.49,625.0,999.0
Icy Sparks,,Gwyn Hyman Rubio,Fiction,1998.0,3.69,320.0,36759.0
Bridget Jones's Guide to Life,,Helen Fielding,Fiction,2001.0,3.48,64.0,1083.0
Getting Things Done,The Art of Stress-Free Productivity,David Allen,Business & Economics,2001.0,3.99,267.0,95950.0
East of Eden,,John Steinbeck,Fiction,2002.0,4.37,601.0,358668.0
Cannery Row,,John Steinbeck,Fiction,2002.0,4.03,181.0,92582.0
Travels with Charley,In Search of America,John Steinbeck,Biography & Autobiography,2002.0,4.08,214.0,52914.0
Salt,A World History,Mark Kurlansky,History,2003.0,3.74,484.0,46854.0
The Eyre Affair,A Novel,Jasper Fforde,Fiction,2003.0,3.91,374.0,93927.0
Youth,,J. M. Coetzee,Fiction,2003.0,3.79,176.0,4722.0
Word Freak,"Heartbreak, Triumph, Genius, and Obsession in the World of Competitive Scrabble Players",Stefan Fatsis,Biography & Autobiography,2002.0,3.82,372.0,4646.0
"The Fall of Berlin, 1945",,Antony Beevor,History,2003.0,4.28,490.0,9635.0
The Last American Man,,Elizabeth Gilbert,Biography & Autobiography,2003.0,3.8,271.0,7634.0
When the Elephants Dance,A Novel,Tess Uriza Holthe,Fiction,2003.0,4.03,368.0,2525.0
The Spy who Loved Me,,Ian Fleming,Adirondack Mountains (N.Y.),1962.0,3.4,198.0,7735.0
Octopussy,And the Living Daylights,Ian Fleming,Fiction,2004.0,3.55,120.0,4801.0
The Blank Slate,The Modern Denial of Human Nature,Steven Pinker,Psychology,2003.0,4.08,528.0,17851.0
Good Poems,,Garrison Keillor,Poetry,2003.0,4.18,476.0,5977.0
The Classic Ten,The True Story of the Little Black Dress and Nine Other Fashion Favorites,Nancy MacDonell Smith;Nancy MacDonell,Design,2003.0,3.43,224.0,108.0
I Should be Extremely Happy in Your Company,A Novel of Lewis and Clark,Brian Hall,Fiction,2003.0,3.37,432.0,325.0
Drop City,,T. Coraghessan Boyle,Fiction,2004.0,3.85,497.0,10071.0
River of Shadows,Eadweard Muybridge and the Technological Wild West,Rebecca Solnit,Biography & Autobiography,2004.0,4.14,320.0,1081.0
The Life of Graham Greene: 1904-1939,,Norman Sherry,Biography & Autobiography,2004.0,4.1,816.0,166.0
Voice of the Violin,,Andrea Camilleri,Fiction,2004.0,4.03,249.0,3669.0
Zazie in the Metro,,Raymond Queneau,Fiction,2001.0,3.73,157.0,3785.0
Nuns and Soldiers,,Iris Murdoch,Fiction,2002.0,3.93,512.0,489.0
A Year Down Yonder,,Anonymous,Juvenile Fiction,2002.0,4.11,160.0,25534.0
"Oliver and Albert, Friends Forever",,Jean Van Leeuwen,Juvenile Fiction,2002.0,3.62,48.0,22.0
The Philadelphia Adventure,,Lloyd Alexander,Juvenile Fiction,2002.0,3.88,150.0,564.0
Dirty Beasts,,Roald Dahl,Juvenile Nonfiction,2002.0,4.02,32.0,3953.0
A Robin McKinley Collection,,Robin McKinley,Juvenile Fiction,2002.0,4.39,1008.0,504.0
The Enormous Crocodile,,Roald Dahl;Quentin Blake,Juvenile Fiction,2003.0,3.77,32.0,13348.0
Triss,A Tale from Redwall,Brian Jacques;David Elliot,Juvenile Fiction,2004.0,3.98,389.0,10527.0
Pippi Longstocking,,Astrid Lindgren,Juvenile Fiction,2005.0,4.12,160.0,140107.0
The Far Side of Evil,,Sylvia Engdahl,Juvenile Fiction,2005.0,3.98,324.0,57.0
Moon-Flash,,Patricia A. McKillip,Juvenile Fiction,2005.0,3.73,304.0,340.0
Firebirds,An Anthology of Original Fantasy and Science Fiction,Sharyn November,Juvenile Fiction,2005.0,3.96,432.0,3374.0
Charlie and the Chocolate Factory,,Roald Dahl,Juvenile Fiction,2005.0,3.86,40.0,12.0
Rock Star Superstar,,Blake Nelson,Juvenile Fiction,2006.0,3.59,229.0,312.0
Amber Brown Is Not a Crayon,,Paula Danziger,Juvenile Fiction,2006.0,3.84,96.0,4700.0
The Tough Guide to Fantasyland,,Diana Wynne Jones,Juvenile Nonfiction,2006.0,3.94,234.0,3897.0
Heat,,Mike Lupica,Juvenile Fiction,2007.0,3.98,220.0,18422.0
The BFG,A Set of Plays,Roald Dahl;David Wood;Jane Walmsley,Juvenile Nonfiction,2007.0,4.26,128.0,452.0
I'm Afraid You've Got Dragons,,Peter S. Beagle,Juvenile Fiction,2007.0,4.1,224.0,10.0
A Little Princess,,Frances Hodgson Burnett,Fiction,2002.0,4.19,242.0,232387.0
The Letters of John and Abigail Adams,,Abigail Adams,Literary Collections,1876.0,4.17,512.0,267.0
Jane Eyre,,Charlotte Brontë,Fiction,2003.0,4.11,532.0,1328143.0
On the Road,,Jack Kerouac,Fiction,2002.0,3.63,307.0,3194.0
The Portable Faulkner,,William Faulkner,Literary Collections,2003.0,4.29,650.0,755.0
The Power and the Glory,,Graham Greene,Fiction,2003.0,3.99,222.0,24309.0
The Portable Dante,,Dante Alighieri,Fiction,2003.0,4.23,654.0,269.0
The Portable Arthur Miller,,Arthur Miller,Drama,2003.0,4.19,575.0,228.0
Agapē Agape,,William Gaddis,Fiction,2003.0,3.81,144.0,873.0
"In the Land of Time, and Other Fantasy Tales",,Edward John Moreton Drax Plunkett Baron Dunsany,Fiction,2004.0,4.12,432.0,571.0
The Portable John Adams,,John Adams,Biography & Autobiography,2004.0,4.11,533.0,56.0
Aleph and other stories,,Jorge Luis Borges;Andrew Hurley,Fiction,2000.0,4.38,210.0,19310.0
A Universal History of Iniquity,,Jorge Luis Borges;Andrew Hurley,Fiction,2004.0,3.97,128.0,2967.0
Stamboul Train,,Graham Greene,Fiction,2004.0,3.46,197.0,1930.0
Enchantress from the Stars,,Sylvia Louise Engdahl,Juvenile Fiction,2003.0,3.94,304.0,2031.0
Castaways of the Flying Dutchman,,Brian Jacques,Juvenile Fiction,2003.0,3.99,356.0,7648.0
Salamandastron,,Brian Jacques;Gary Chalk,Juvenile Fiction,2003.0,4.06,400.0,25484.0
Riot,A Novel,Shashi Tharoor,Adult children,2003.0,3.7,272.0,1261.0
Buddha,,Karen Armstrong,Biography & Autobiography,2004.0,3.89,240.0,3657.0
Excursion to Tindari,,Andrea Camilleri,Fiction,2005.0,4.03,304.0,3174.0
Alexander Hamilton,,Ron Chernow,Biography & Autobiography,2004.0,4.24,818.0,82247.0
The Shadow of the Wind,,Carlos Ruiz Zafón,Fiction,2005.0,4.26,487.0,306069.0
Jane Austen,,Carol Shields,Biography & Autobiography,2005.0,3.85,192.0,2221.0
The Liars' Club,A Memoir,Mary Karr,Biography & Autobiography,2005.0,3.93,320.0,50776.0
Democracy Matters,Winning the Fight Against Imperialism,Cornel West,History,2005.0,3.94,218.0,1408.0
Windblown World,"The Journals of Jack Kerouac, 1947-1954",Jack Kerouac;Douglas Brinkley,Biography & Autobiography,2006.0,4.15,480.0,564.0
The United States of Europe,The New Superpower and the End of American Supremacy,T. R. Reid,History,2005.0,3.62,320.0,681.0
The Christians and the Fall of Rome,,Edward Gibbon,History,2005.0,3.57,96.0,202.0
Why I Write,,George Orwell,Language Arts & Disciplines,2005.0,4.03,120.0,5874.0
On the Road,,Jack Kerouac,Fiction,2005.0,3.63,320.0,480.0
The Stone Diaries,,Carol Shields,Fiction,2005.0,3.86,384.0,396.0
Collapse,How Societies Choose to Fail Or Succeed,Jared M. Diamond,History,2006.0,3.93,608.0,49219.0
March,,Geraldine Brooks,Fiction,2006.0,3.75,280.0,47704.0
The Mermaid Chair,,Sue Monk Kidd,Fiction,2006.0,3.12,368.0,66723.0
Grammar Snobs are Great Big Meanies,A Guide to Language for Fun and Spite,June Casagrande,Humor,2006.0,3.78,199.0,733.0
The City of Falling Angels,,John Berendt,History,2006.0,3.54,414.0,12412.0
Bargaining for Advantage,Negotiation Strategies for Reasonable People,G. Richard Shell,Business & Economics,2006.0,3.94,320.0,4406.0
The Memory Keeper's Daughter,,Kim Edwards,Fiction,2006.0,3.65,401.0,519878.0
The Big Over Easy,A Nursery Crime,Jasper Fforde,Fiction,2006.0,3.93,383.0,26532.0
The Read-aloud Handbook,,Jim Trelease,Language Arts & Disciplines,2006.0,4.4,432.0,4122.0
Tooth and Claw,,T. Coraghessan Boyle,Fiction,2006.0,3.82,304.0,1165.0
Rounding the Mark,,Andrea Camilleri,Fiction,2006.0,4.06,272.0,2445.0
The Social Contract,,Jean-Jacques Rousseau;Maurice Cranston,Philosophy,2004.0,3.76,168.0,27463.0
Fear and Trembling,,Søren Kierkegaard,Philosophy,2005.0,4.0,160.0,13333.0
Bleak House,,Charles Dickens;Nicola Bradbury,Fiction,2006.0,4.01,1017.0,77515.0
Good Poems for Hard Times,,Garrison Keillor,Poetry,2006.0,4.14,344.0,2611.0
Homegrown Democrat,A Few Plain Thoughts from the Heart of America,Garrison Keillor,Political Science,2006.0,3.96,288.0,1164.0
Let My People Go Surfing,The Education of a Reluctant Businessman,Yvon Chouinard,Business & Economics,2006.0,4.21,272.0,6467.0
The Joy Luck Club,,Amy Tan,Fiction,2006.0,3.91,288.0,550264.0
The Kitchen God's Wife,,Amy Tan,Fiction,2006.0,4.0,416.0,64285.0
The Bar on the Seine,,Georges Simenon;David Watson,Fiction,2007.0,3.69,160.0,375.0
"Eat, Pray, Love","One Woman's Search for Everything Across Italy, India, and Indonesia",Elizabeth Gilbert,Biography & Autobiography,2007.0,3.54,368.0,1309623.0
The White Man's Burden,Why the West's Efforts to Aid the Rest Have Done So Much Ill and So Little Good,William Easterly,Business & Economics,2006.0,3.83,436.0,4317.0
The quiet American,,Graham Greene;Robert Stone,Fiction,1955.0,3.97,180.0,35497.0
Complete Short Stories,,Graham Greene,Fiction,2005.0,4.16,594.0,1106.0
World of Wonders,,Robertson Davies;Wayne Johnston,Fiction,2006.0,4.1,352.0,3479.0
Sodom and Gomorrah,,Marcel Proust,Fiction,2005.0,4.36,557.0,3039.0
The Grapes of Wrath,,John Steinbeck,Fiction,1939.0,3.95,464.0,6775.0
The Tale of Genji,Abridged,Murasaki Shikibu,Fiction,2006.0,3.71,319.0,148.0
The Complete Novels,,Jane Austen,Fiction,2006.0,4.55,1278.0,417.0
The Adventures of Augie March,,Saul Bellow;Christopher Hitchens,Fiction,2006.0,3.85,586.0,14372.0
The Dharma Bums,,Jack Kerouac,Fiction,1958.0,3.93,187.0,1993.0
Malgudi Days,,R. K. Narayan,Fiction,1982.0,4.21,264.0,13066.0
The Outsiders,,S. E. Hinton;Jodi Picoult,Fiction,1967.0,4.08,160.0,1558.0
Sometimes a Great Notion,,Ken Kesey,Fiction,1964.0,4.21,715.0,557.0
The Book of Imaginary Beings,,Jorge Luis Borges;Margarita Guerrero;Andrew Hurley;Peter Sís,Fiction,2006.0,4.09,236.0,4809.0
Gravity's Rainbow,,Thomas Pynchon,Fiction,1973.0,4.02,776.0,28034.0
Life is a Dream,,Pedro Calderón de la Barca,Drama,2006.0,3.98,160.0,154.0
Black Lamb and Grey Falcon,A Journey Through Yugoslavia,Rebecca West,History,2007.0,4.23,1181.0,1550.0
Mrs. Dalloway,,Virginia Woolf,Fiction,2002.0,3.79,194.0,167000.0
Animal Farm and 1984,,George Orwell,Fiction,2003.0,4.28,400.0,140015.0
Janet Flanner's world,"uncollected writings, 1932-1975",Janet Flanner;Irving Drutman,Fiction,1979.0,4.3,368.0,19.0
The Stone Fey,,Robin McKinley,Juvenile Fiction,1998.0,3.35,64.0,1025.0
How I Became a Pirate,,Melinda Long;David Shannon,Juvenile Fiction,2003.0,4.08,44.0,23328.0
The Little Red Lighthouse and the Great Gray Bridge,,Hildegarde Hoyt Swift;Lynd Ward,Juvenile Fiction,2003.0,4.26,64.0,2216.0
The Secret School,,Avi,Juvenile Fiction,2003.0,3.78,176.0,3540.0
Winter is the Warmest Season,,Lauren Stringer,Juvenile Fiction,2006.0,3.91,40.0,360.0
Doomed Queen Anne,,Carolyn Meyer,Juvenile Fiction,2004.0,3.87,240.0,3478.0
Gifts,,Ursula K. Le Guin,Juvenile Fiction,2006.0,3.69,286.0,6442.0
The Hundred Dresses,Growing Up. Set 4,Eleanor Estes,Juvenile Fiction,2004.0,4.09,80.0,29372.0
"Patience, Princess Catherine",,Carolyn Meyer,Juvenile Fiction,2005.0,3.79,208.0,2185.0
Voices,,Ursula K. Le Guin,Juvenile Fiction,2006.0,3.87,341.0,3353.0
Apple Pie Fourth of July,,Janet S. Wong;Margaret Chodos-Irvine,Juvenile Fiction,2006.0,3.71,40.0,298.0
Beauty Shop for Rent,"--fully Equipped, Inquire Within",Laura Bowers,Juvenile Fiction,2007.0,3.87,336.0,758.0
Frankenstein Makes a Sandwich,,Adam Rex,Juvenile Nonfiction,2006.0,4.21,40.0,1860.0
The Sleeping Giant and Other Stories,,Eleanor Estes,Folklore,1948.0,4.0,101.0,10.0
The Metamorphoses of Ovid,,Allen Mandelbaum,Literary Criticism,1995.0,4.05,559.0,685.0
Winterdance,The Fine Madness of Running the Iditarod,Gary Paulsen,Pets,1994.0,4.25,272.0,5128.0
This Is the Way the World Ends,,James Morrow,Fiction,1986.0,3.75,319.0,1275.0
The Double Flame,Love and Eroticism,Octavio Paz,Literary Collections,1996.0,4.21,276.0,577.0
All the King's Men,,Robert Penn Warren,Fiction,1982.0,4.09,439.0,45975.0
Baltasar and Blimunda,,José Saramago;Giovanni Pontiero,Fiction,1998.0,3.91,346.0,5950.0
The History of the Siege of Lisbon,,José Saramago,Fiction,1998.0,3.8,314.0,324.0
Slammerkin,,Emma Donoghue,Fiction,2000.0,3.7,410.0,12262.0
Blindness,,José Saramago;Giovanni Pontiero,Fiction,1999.0,4.11,326.0,106162.0
All the Names,,José Saramago;Margaret Jull Costa,Fiction,2001.0,3.89,245.0,10634.0
"Poems, New and Collected, 1957-1997",,Wislawa Szymborska;Stanisław Barańczak;Clare Cavanagh,Poetry,2000.0,4.42,296.0,2454.0
The Last Life,,Claire Messud,Fiction,2000.0,3.56,400.0,1384.0
The Tale of the Unknown Island,,José Saramago,Fiction,2000.0,3.89,64.0,3138.0
Tales from Margaritaville,Fictional Facts and Factual Fictions,Jimmy Buffett,Fiction,2002.0,3.9,230.0,2366.0
The Cyberiad,,Stanislaw Lem,Fiction,2002.0,4.18,295.0,7512.0
Four Comedies,,Aristophanes;Dudley Fitts,Drama,2002.0,4.03,400.0,14.0
The Common Reader,First series,Virginia Woolf,Literary Collections,1984.0,4.17,272.0,1090.0
A Writer's Diary,Being Extracts from the Diary of Virginia Woolf,Virginia Woolf;Leonard Woolf,Biography & Autobiography,2003.0,4.25,355.0,3219.0
Women and Writing,,Virginia Woolf,Literary Criticism,2003.0,4.07,216.0,236.0
The Cave,,José Saramago,Fiction,2003.0,3.83,307.0,7390.0
"Gun, with Occasional Music",,Jonathan Lethem,Fiction,2003.0,3.77,271.0,7863.0
A Drink Before the War,,Dennis Lehane,Fiction,2003.0,3.95,282.0,28386.0
Baudolino,,Umberto Eco,Fiction,2003.0,3.74,527.0,15490.0
Mrs. Dalloway's Party,A Short Story Sequence,Virginia Woolf;Stella McNichol,Fiction,2003.0,3.87,80.0,398.0
The Liberated Bride,,Abraham B. Yehoshua;Hillel Halkin,Fiction,2004.0,3.76,576.0,449.0
Book Club,Life of Pi (7 Copies).,Yann Martel,,0.0,3.9,401.0,4242.0
The Female of the Species,Tales of Mystery and Suspense,Joyce Carol Oates,Fiction,2007.0,3.6,275.0,994.0
Flowers for Algernon,,Daniel Keyes,Fiction,2005.0,4.11,311.0,332849.0
A Room of One's Own,,Virginia Woolf;Susan Gubar,Fiction,2005.0,4.13,112.0,828.0
To the Lighthouse,,Virginia Woolf,Fiction,1927.0,3.77,242.0,488.0
Kiffe Kiffe Tomorrow,,Faïza Guène;Sarah Adams,Fiction,2006.0,3.38,179.0,1026.0
Rose of No Man's Land,,Michelle Tea,Fiction,2007.0,3.51,320.0,1458.0
Three Guineas,,Virginia Woolf;Jane Marcus;Mark Hussey,Fiction,2006.0,3.86,352.0,2270.0
The People of Paper,,Salvador Plascencia,Fiction,2005.0,4.09,256.0,4021.0
Virginia Woolf,An Inner Life,Julia Briggs,Biography & Autobiography,2006.0,4.17,544.0,623.0
On Literature,,Umberto Eco,Literary Collections,2005.0,3.95,352.0,1669.0
The Pirates Laffite,The Treacherous World of the Corsairs of the Gulf,William C. Davis,Biography & Autobiography,2006.0,3.51,756.0,211.0
Foucault's Pendulum,,Umberto Eco,Fiction,2007.0,3.9,623.0,44658.0
Between the Acts,,Virginia Woolf,Fiction,1969.0,3.64,224.0,4202.0
Big Anthony and the Magic Ring,,Tomie DePaola,Juvenile Fiction,1979.0,4.1,32.0,443.0
The Collected Stories of Eudora Welty,,Eudora Welty,Literary Collections,1980.0,4.23,622.0,7003.0
The Complete Shorter Fiction of Virginia Woolf,,Virginia Woolf,Fiction,1989.0,4.04,345.0,684.0
The Diary of Anaïs Nin: 1939-1944,,Anaïs Nin,"Authors, American",1966.0,4.17,348.0,1373.0
The Diary of Anaïs Nin,,Anaïs Nin,Biography & Autobiography,1977.0,4.12,432.0,307.0
The Diary of Anaïs Nin,1966-1974,Anaïs Nin,Biography & Autobiography,1980.0,4.16,384.0,315.0
The Diary of Virginia Woolf: 1915-1919,,Virginia Woolf,Biography & Autobiography,1979.0,4.31,356.0,1262.0
The Diary of Virginia Woolf,1920-1924,Virginia Woolf,Biography & Autobiography,1980.0,4.37,384.0,374.0
The Diary of Virginia Woolf: 1925-1930,,Virginia Woolf,Biography & Autobiography,1981.0,4.43,408.0,477.0
The Diary of Virginia Woolf: 1931-1935,,Virginia Woolf,Biography & Autobiography,1983.0,4.44,420.0,213.0
Diary Of Virginia Woolf Volume 5,Vol. 5 (1936-1941),Virginia Woolf,Biography & Autobiography,1985.0,4.49,424.0,220.0
Difficult Loves,,Italo Calvino,Fiction,1984.0,3.93,300.0,3874.0
The Early Diary of Anaïs Nin: 1923-1927,,Anaïs Nin,Biography & Autobiography,1985.0,4.18,320.0,143.0
E. M. Forster,A Life,Philip Nicholas Furbank,Biography & Autobiography,1981.0,4.11,648.0,133.0
Fiasco,,Stanislaw Lem,Fiction,1988.0,4.12,322.0,2125.0
Henry and June,From the Unexpurgated Diary of Anaïs Nin,Anaïs Nin,"Authors, American",1986.0,3.95,304.0,7535.0
Homage to Catalonia,,George Orwell,History,1952.0,4.15,232.0,27619.0
Incest,"From ""A Journal of Love"": The Unexpurgated Diary of Anais Nin, 1932-1934",Anaïs Nin,Biography & Autobiography,1993.0,4.0,432.0,279.0
The Inheritors,,William Golding,Fiction,1962.0,3.53,240.0,2681.0
Invisible Cities,,Italo Calvino,Fiction,1978.0,4.17,165.0,39058.0
The Letters of Virginia Woolf: 1936-1941,,Virginia Woolf,Biography & Autobiography,1980.0,4.47,576.0,95.0
